Started 131. Target = 1000000
1. p=7, n=1 	 pix=4, nroot=1, xroot=2
153. p=791047, n=135005697 	 pix=63289, nroot=513, xroot=135268866
154. p=812761, n=140608000 	 pix=64894, nroot=520, xroot=140878400
155. p=825301, n=143877824 	 pix=65823, nroot=524, xroot=144152400
156. p=837937, n=147197952 	 pix=66739, nroot=528, xroot=147476736
157. p=847477, n=149721291 	 pix=67434, nroot=531, xroot=150003252
158. p=863497, n=153990656 	 pix=68601, nroot=536, xroot=154277952
159. p=879667, n=158340421 	 pix=69798, nroot=541, xroot=158633102
160. p=886177, n=160103007 	 pix=70275, nroot=543, xroot=160397856
161. p=895987, n=162771336 	 pix=70998, nroot=546, xroot=163069452
162. p=909151, n=166375000 	 pix=71959, nroot=550, xroot=166677500
163. p=915769, n=168196608 	 pix=72424, nroot=552, xroot=168501312
164. p=925741, n=170953875 	 pix=73170, nroot=555, xroot=171261900
165. p=929077, n=171879616 	 pix=73405, nroot=556, xroot=172188752
166. p=932419, n=172808693 	 pix=73642, nroot=557, xroot=173118942
167. p=939121, n=174676879 	 pix=74128, nroot=559, xroot=174989360
168. p=952597, n=178453547 	 pix=75098, nroot=563, xroot=178770516
169. p=972991, n=184220009 	 pix=76578, nroot=569, xroot=184543770
170. p=976411, n=185193000 	 pix=76823, nroot=570, xroot=185517900
171. p=986707, n=188132517 	 pix=77546, nroot=573, xroot=188460846
172. p=990151, n=189119224 	 pix=77785, nroot=574, xroot=189448700
173. p=997057, n=191102976 	 pix=78283, nroot=576, xroot=191434752

E 131: 10.6050940933333 minutes
1/8/2015 9:44:40 AM
Count(1000000) ==> 173
